"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"HOLT","Your time",0.0,1.0,0.0,0.0,"","","","","your time","",0.0
"HOLT","Senator Klobuchar I want to get you",0.0,0.794,0.206,0.0772,5026,1784.194,5029,1784.754,"senator klobuchar i want to get you","i just want to",0.40816326530612246
"HOLT","I am fascinated by this. Senator  Senator Klobuchar?",0.0,0.659,0.341,0.4767,"","","","","i am fascinated by this senator senator klobuchar","",0.0
"KLOBUCHAR","I just want to say there's three women up here that have fought pretty hard for a woman's right to choose. I'll start with that.",0.136,0.699,0.165,0.2023,5045,1787.844,5046,1788.404,"i just want to say there's three women up here that have fought pretty hard for a woman's right to choose i'll start with that","to choose",0.13333333333333333
"KLOBUCHAR","And then I just want to make very clear I think we share the goal of universal health care. And the idea I put out there the public option which the governor was just talking about this idea is that you use Medicare or Medicaid without any insurance companies involved you can do it either way. And the estimates are 13 million people would see a reduction in their premiums 12 more million people would get covered.",0.0,0.878,0.122,0.8221,5059,1797.044,5115,1815.874,"and then i just want to make very clear i think we share the goal of universal health care and the idea i put out there the public option which the governor was just talking about this idea is that you use medicare or medicaid without any insurance companies involved you can do it either way and the estimates are 13 million people would see a reduction in their premiums 12 more million people would get covered","and the idea i put out there the public option which the governor was just talking about this idea is that you use medicare or medicaid without any insurance companies involved you could do it either way and the estimates are 13,000,000 people would see a reduction in their premiums 12 more 1,000,000 people would get covered",0.8254397834912043
"KLOBUCHAR","So I think it is a beginning and the way you start and the way you move to universal health care.",0.0,0.849,0.151,0.4939,5116,1816.064,5134,1820.544,"so i think it is a beginning and the way you start and the way you move to universal health care","so i think it is a beginning and the way you start in the way you move to universal",0.9162011173184358
"HOLT","Secretary Castro this one is for you. All of you on stage support a woman's right to an abortion. You all support some version of a government health care option. Would your plan cover abortion Mr. Secretary?",0.0,0.788,0.212,0.8225,5136,1821.594,5172,1833.404,"secretary castro this one is for you all of you on stage support a woman's right to an abortion you all support some version of a government health care option would your plan cover abortion mr secretary","secretary castro this one is for you all of you on stage support a woman's right to an abortion you all support some version of a government health care option would your plan cover abortion mr secretary",1.0
"CASTRO","Yes it would. I don't believe only in reproductive freedom I believe in reproductive justice.",0.0,0.493,0.507,0.8834,5173,1834.094,5187,1840.304,"yes it would i don't believe only in reproductive freedom i believe in reproductive justice","yes it would i don't believe only in reproductive freedom i believe in reproductive justice",1.0
"CASTRO","And you know what that means is that just because a woman  or let's also not forget someone in the trans community a trans female is poor doesn't mean they shouldn't have the right to exercise that right to choose. And so I absolutely would cover the right to have an abortion.",0.06,0.908,0.032,-0.3472,5188,1843.114,5235,1861.064,"and you know what that means is that just because a woman or let's also not forget someone in the trans community a trans female is poor doesn't mean they shouldn't have the right to exercise that right to choose and so i absolutely would cover the right to have an abortion","you know what that means is that just because a woman or let's also not forget someone in the trans community transfer thescore doesn't mean they shouldn't have the right to exercise that right to choose and so i absolutely would cover the right to have an abortion",0.961038961038961
"CASTRO","More than that everybody in this crowd and watching at home knows that in our country today a person's right to choose is under assault in places like Missouri in Alabama in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v. Wade and will respect it",0.066,0.836,0.098,0.2023,5236,1861.184,5285,1879.424,"more than that everybody in this crowd and watching at home knows that in our country today a person's right to choose is under assault in places like missouri in alabama in georgia i would appoint judges to the federal bench that understand the precedent of roe v wade and will respect it","more than that everybody in this crowd and watching at home knows that in our country today a person's right to choose is under assault in places like missouri in alabama in georgia i would appoint judges to the federal bench that understand the president of roe v wade and",0.9644128113879004
"CASTRO","and in addition to that make sure that we fight hard as we transition our health care system to one where everybody can get and exercise that right.",0.119,0.716,0.164,0.3612,5290,1881.504,5314,1889.004,"and in addition to that make sure that we fight hard as we transition our health care system to one where everybody can get and exercise that right","that make sure that we fight hard as we transition our health care system tau one where everybody i can get and exercise that right",0.9136690647482014
"HOLT","Senator Warren would you put limits on  any limits on abortion?",0.0,1.0,0.0,0.0,5315,1889.194,5325,1892.224,"senator warren would you put limits on any limits on abortion","senator warren would you put limits on any limits on abortion",1.0
"WARREN","I would make certain that every woman has access to the full range of reproductive health care services and that includes birth control it includes abortion it includes everything for a woman.",0.0,0.841,0.159,0.6486,5326,1893.214,5357,1906.224,"i would make certain that every woman has access to the full range of reproductive health care services and that includes birth control it includes abortion it includes everything for a woman","i would make certain that every woman has access to the full range of reproductive healthcare service is and that includes birth control it includes abortion it includes everything for a woman",0.9921671018276762
"WARREN","And I want to add on that. It's not enough for us to expect the courts to protect us. Forty-seven years ago Roe v. Wade was decided and we've all looked to the courts all that time as state after state has undermined Roe has put in exceptions has come right up to the edge of taking away protections",0.041,0.896,0.064,0.1027,5358,1907.264,5414,1926.934,"and i want to add on that it's not enough for us to expect the courts to protect us forty-seven years ago roe v wade was decided and we've all looked to the courts all that time as state after state has undermined roe has put in exceptions has come right up to the edge of taking away protections","i want to add on that it's not enough for us to expect the courts to protect us 47 years ago roe versus wade was decided and we've all looked to the courts all that time at state after state has undermined row has put in exceptions has come right up to the edge off taking away",0.9319371727748691
"HOLT","Your time is up Senator.",0.0,1.0,0.0,0.0,5416,1927.604,5418,1928.284,"your time is up senator","is up senator",0.7222222222222222
"WARREN","We now have an America where most people support Roe v. Wade. We need to make that a federal law.",0.0,0.858,0.142,0.4549,5419,1928.514,5436,1933.864,"we now have an america where most people support roe v wade we need to make that a federal law","we now have in america where most people support roe versus wade we need to make that federal",0.93048128342246
"HOLT","Senator thank you. Jose?",0.0,0.545,0.455,0.3612,5437,1933.874,5438,1934.214,"senator thank you jose","thank you",0.5806451612903226
"DIAZ-BALART","Lester thank you. Senator Booker I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 20 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?",0.075,0.856,0.069,-0.3182,5439,1936.454,5486,1954.894,"lester thank you senator booker i want to kind of come back on a discussion we were having about health and the opioid crisis you represent a state where 14 of the 20 largest pharmaceutical companies are based should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do","i want to kind of come back on a discussion we were having about health and the oid opioid crisis you representative state where 14 of the 20 largest pharmaceutical companies are based should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do",0.9317803660565723
"BOOKER","They should absolutely be held criminally liable because they are liable and responsible. This is one of the reasons why well before I was running for president I said I would not take contributions from pharma companies not take contributions from corporate PACs or pharma executives because they are part of this problem.",0.057,0.862,0.081,0.0708,5487,1955.154,5538,1973.608,"they should absolutely be held criminally liable because they are liable and responsible this is one of the reasons why well before i was running for president i said i would not take contributions from pharma companies not take contributions from corporate pacs or pharma executives because they are part of this problem","they should absolutely be held criminally liable because they are liable and responsible this is one of the reasons why will require is running for president i said i would not take contributions from former companies not take contributions from corporate tax or farmer executives because they are part of this problem",0.9514866979655712
"BOOKER","And this opioid addiction in our country we in cities like mine have been seeing how we've tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that.",0.089,0.794,0.118,0.3127,5539,1973.908,5608,1994.688,"and this opioid addiction in our country we in cities like mine have been seeing how we've tried to arrest our way out of addiction for too long it is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that","and this opioid addiction in our country we in cities like mine have been seeing how we've tried to arrest our way out of addiction for too long it is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that responsible helped put to pay for that",0.986449864498645
"DIAZ-BALART","Congressman O'Rourke how would you deal with it?",0.0,1.0,0.0,0.0,5609,1994.698,5613,1996.398,"congressman o'rourke how would you deal with it","congressman o'rourke how would you",0.8395061728395061
"O'ROURKE","Tonight in this country you have 2.3 million of our fellow Americans behind bars. It's the largest prison population on the face of the planet. Many are there for nonviolent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized it.",0.063,0.937,0.0,-0.5106,5615,1998.248,5666,2015.568,"tonight in this country you have 2 3 million of our fellow americans behind bars it's the largest prison population on the face of the planet many are there for nonviolent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized it","tonight in this country you have two point 3,000,000 our fellow americans behind bars it's the largest prison population on the face of the planet many are there for non violent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized it",0.9566666666666667
"O'ROURKE","And yet despite what Purdue Pharma has done their connection to the opioid crisis and the overdose deaths that we're seeing throughout this country they've been able to act with complete impunity and pay no consequences not a single night in jail.",0.168,0.832,0.0,-0.7717,5667,2016.028,5708,2028.878,"and yet despite what purdue pharma has done their connection to the opioid crisis and the overdose deaths that we're seeing throughout this country they've been able to act with complete impunity and pay no consequences not a single night in jail","and yet despite what purdue pharma has done their connection to the opioid crisis in the overdose deaths that we're seeing throughout this country they've been able to act with complete impunity and pay no consequences not a single night in jail",0.9938900203665988
"O'ROURKE","Unless there's accountability and justice this crisis will continue. In my administration we will hold them to account. We will make sure that they pay a price and we will help those who've been victims of this malfeasance in this country get them treatment and long-term care.",0.145,0.659,0.196,0.4633,5709,2029.068,5755,2041.938,"unless there's accountability and justice this crisis will continue in my administration we will hold them to account we will make sure that they pay a price and we will help those who've been victims of this malfeasance in this country get them treatment and long-term care","unless there's accountability and justice this crisis will continue in my administration we will hold them to account we'll make sure that they pay a price and we will help those who've been victims of this malfeasance in this country get them treatment in long term care",0.9834862385321101
"HOLT","I know immigration is on a lot of your minds here.",0.0,1.0,0.0,0.0,5756,2041.948,5767,2044.898,"i know immigration is on a lot of your minds here","i know immigration is not a lot of your minds here on",0.9411764705882353
"HOLT","And I want to talk about it. We're going to talk about it in a moment. We need to take a break. We'll be back with more from Miami after this.",0.0,0.954,0.046,0.0772,5768,2044.898,5806,2171.568,"and i want to talk about it we're going to talk about it in a moment we need to take a break we'll be back with more from miami after this","i want to talk about it we're gonna talk about the moment we need to take a break we'll be back with more from miami after this turn to an issue that has been in the news especially this",0.7592592592592593
"DIAZ-BALART","We want to turn to an issue that has been in the news especially this week. There are undocumented children being held alone in detention even as close as Homestead Florida right here less than 30 miles from where we are tonight. Fathers and mothers and children are dying while trying to enter the United States of America.",0.072,0.863,0.065,-0.1027,5815,2176.718,5875,2202.348,"we want to turn to an issue that has been in the news especially this week there are undocumented children being held alone in detention even as close as homestead florida right here less than 30 miles from where we are tonight fathers and mothers and children are dying while trying to enter the united states of america","in detention even his closest homestead florida right here less than 30 miles from where we are tonight fathers and mothers and children are dying while trying to enter the united states of america we saw that image today that broke our hearts and they had names oscar martinez and his 23 month old daughter valeria died trying to cross the",0.5869894099848714
"DIAZ-BALART","We saw that image today that broke our hearts and they had names. Oscar Martinez and his 23-month-old daughter Valeria died trying to cross the river to ask for asylum in this country. Last month more than 130000 migrants were apprehended at the southern border.",0.13,0.87,0.0,-0.7506,5889,2207.598,5902,2213.038,"we saw that image today that broke our hearts and they had names oscar martinez and his 23-month-old daughter valeria died trying to cross the river to ask for asylum in this country last month more than 130000 migrants were apprehended at the southern border","and 30,000 migrants were apprehended in the southern border secretary castro if you were",0.33429394812680113
"DIAZ-BALART","Secretary Castro if you were president today hoy what would you specifically do?",0.0,1.0,0.0,0.0,5909,2216.358,5913,2219.388,"secretary castro if you were president today hoy what would you specifically do","you specifically d'oh thank you",0.34545454545454546
"CASTRO","Thank you very much Jose. I'm very proud that in April I became the first candidate to put forward a comprehensive immigration plan. And we saw those images",0.0,0.745,0.255,0.7841,5914,2219.388,5940,2227.068,"thank you very much jose i'm very proud that in april i became the first candidate to put forward a comprehensive immigration plan and we saw those images","very much we'll say i'm very proud that in april i became the first candidate to put forward a comprehensive immigration plan and we saw those images",0.9306930693069307
"CASTRO","watching that image of Oscar and his daughter Valeria is heartbreaking. It should also piss us all off.",0.263,0.737,0.0,-0.6908,5941,2227.758,5959,2236.338,"watching that image of oscar and his daughter valeria is heartbreaking it should also piss us all off","watching that image of scott and his daughter but lydia eyes heartbreaking it should also piss us all off",0.9029126213592233
"CASTRO","If I were president today  and it should spur us to action. If I were president today I would sign an executive order that would get rid of Trump's zero-tolerance policy the remain in Mexico policy and the metering policy  this metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who are coming and trying to seek asylum at our ports of entry. Oscar and Valeria went to a port of entry and then they were denied the ability to make an asylum claim so they got frustrated and they tried to cross the river and they died because of that.",0.098,0.868,0.034,-0.8344,5960,2237.978,6076,2276.048,"if i were president today and it should spur us to action if i were president today i would sign an executive order that would get rid of trump's zero-tolerance policy the remain in mexico policy and the metering policy this metering policy is basically what prompted oscar and valeria to make that risky swim across the river they had been playing games with people who are coming and trying to seek asylum at our ports of entry oscar and valeria went to a port of entry and then they were denied the ability to make an asylum claim so they got frustrated and they tried to cross the river and they died because of that","if i were president theo niche its first action if i were president today i would sign an executive order that would get rid of trump's zero tolerance policy the remain in mexico policy and the metering policy this metering policy is basically what prompted well scott in malaysia to make that risky swim across the winter river they have been playing games with people who are coming in trying to seek asylum in our ports of entry or scott and valeria went to a port of entry and then they were denied the ability to make it asylum plane so they got frustrated and they tried to cross the river and they died because of that",0.9333333333333333
"DIAZ-BALART","On day one. Sorry I'm just going to ask",0.14,0.86,0.0,-0.0772,6077,2276.058,6079,2276.748,"on day one sorry i'm just going to ask","on day one",0.4166666666666667
"CASTRO","On day one I would do that executive order that would address metering. And then I would follow that up in my first 100 days with immigration reform that would honor asylum claims that would put undocumented immigrants as long as they haven't committed a serious crime on a pathway to citizenship.",0.034,0.829,0.137,0.666,6082,2277.628,6132,2292.358,"on day one i would do that executive order that would address metering and then i would follow that up in my first 100 days with immigration reform that would honor asylum claims that would put undocumented immigrants as long as they haven't committed a serious crime on a pathway to citizenship","i would do that executive order that would address me tearing and then i would follow that up in my 1st 100 days with immigration reform that were honor asylum claims that would put undocking undocumented immigrants as long as they haven't committed a serious crime on a pathway to citizenship",0.9421768707482994
"CASTRO","And then we'd get to the root cause of the issue which is we need a Marshall Plan for Honduras and Guatemala and El Salvador so that people can find safety and opportunity at home instead of coming to the United States to seek it.",0.0,0.83,0.17,0.8126,6133,2292.488,6172,2306.978,"and then we'd get to the root cause of the issue which is we need a marshall plan for honduras and guatemala and el salvador so that people can find safety and opportunity at home instead of coming to the united states to seek it","and that would go to the root cause of the issue which is we need a marshall plan for dudas and what a thief confined safety and opportunity at home instead of coming to the united states to seek it",0.8665105386416861
"DIAZ-BALART","Senator Booker what would you do on day one? And this is a situation that the next president will inherit.",0.0,1.0,0.0,0.0,6173,2307.308,6192,2312.768,"senator booker what would you do on day one and this is a situation that the next president will inherit","senator booker what would you do on day one and this is a situation that the next president will inherit",1.0
"BOOKER","Yes. (SPEAKING IN SPANISH)",0.0,0.526,0.474,0.4019,6193,2317.288,"","","yes (speaking in spanish)","",0.0
"BOOKER","On day one I will make sure that number one we end the ICE policies and the Customs and Border Policies that are violating the human rights. When people come to this country they do not leave their human rights at the border.",0.076,0.822,0.103,-0.1906,6207,2326.668,6247,2339.718,"on day one i will make sure that number one we end the ice policies and the customs and border policies that are violating the human rights when people come to this country they do not leave their human rights at the border","day one i will make sure that number one we end the ice policies and the customs and border policies are violating the human rights when people come to their country they do not leave their human rights at the border",0.9749430523917996
"BOOKER","Number two",0.0,0.435,0.565,0.0772,6248,2339.968,6249,2340.858,"number two","number two",1.0
"BOOKER",". I will make sure that we reinstate DACA that we reinstate pathways to citizenship for DACA recipients and to make sure that people that are here on temporary protective status can stay and remain here.",0.0,0.874,0.126,0.5574,6250,2342.228,6284,2354.428,"i will make sure that we reinstate daca that we reinstate pathways to citizenship for daca recipients and to make sure that people that are here on temporary protective status can stay and remain here","i will make sure that we reinstate daca that we reinstate pathways to citizenship for daca recipients and to make sure that people that air here on temporary protected status can stay and remain here",0.9874686716791979
"BOOKER","And then finally we need to make sure that we address the issues that made Oscar and Valeria come in the first place by making major investments in the Northern Triangle not like this president is doing by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we're going to get border security. We actually will lose security and our values. We must fight for both.",0.167,0.734,0.099,-0.7312,6285,2354.718,6361,2379.978,"and then finally we need to make sure that we address the issues that made oscar and valeria come in the first place by making major investments in the northern triangle not like this president is doing by ripping away the resources we need to actually solve this problem we cannot surrender our values and think that we're going to get border security we actually will lose security and our values we must fight for both","and then finally we need to make sure that we address the issues that made oscar and malaria come in the first place by making major investments in the northern triangle not like this president's doing by ripping a way the resource is we need to actually solve this problem we cannot surrender our values and i think that we're gonna get border security we actually will lose security and our values we must fight for both",0.9774614472123369
"CASTRO"," if I might  if I might very briefly and this is an important point. You know my plan  and I'm glad to see that Senator Booker Senator Warren and Governor Inslee agree with me on this. My plan also includes getting rid of Section 1325 of the Immigration and Nationality Act to go back to the way we used to treat this when somebody comes across the border not to criminalize desperation to treat that as a civil violation.",0.037,0.79,0.174,0.8744,6369,2384.738,6431,2404.758,"if i might if i might very briefly and this is an important point you know my plan and i'm glad to see that senator booker senator warren and governor inslee agree with me on this my plan also includes getting rid of section 1325 of the immigration and nationality act to go back to the way we used to treat this when somebody comes across the border not to criminalize desperation to treat that as a civil violation","and i'm glad to see that senator booker senator warren and governor inslee agree with me on this my plan also includes getting red rid of section 13 25 of the immigration and nationality act to go back to the way we used to treat this when somebody comes across the border not to criminalize desperation to treat that is a civil violation",0.8806366047745358
"CASTRO","And here's why it's important. We see all of this horrendous family separation. They use that law Section 1325 to justify under the law separating little children from their families.",0.131,0.816,0.052,-0.5719,6434,2406.748,6463,2417.088,"and here's why it's important we see all of this horrendous family separation they use that law section 1325 to justify under the law separating little children from their families","here's why it's important we see all of this horrendous family separation they use that law section 13 25 to justify under the law separating little children from their families",0.9859943977591037
"CASTRO","And so I want to challenge every single candidate on this stage to support the repeal of Section 1325.",0.0,0.719,0.281,0.5936,6464,2417.428,6480,2422.948,"and so i want to challenge every single candidate on this stage to support the repeal of section 1325","so i want a challenge every single candidate on this stage to support the repeal of section",0.9375
"DIAZ-BALART","Thirty seconds.",0.0,1.0,0.0,0.0,6483,2423.978,6483,2424.378,"thirty seconds","seconds",0.6666666666666666
"BOOKER","As my friend here said I agree with him on that issue but folks should understand that the separation of children from families doesn't just go on at our border. It happens in our communities as ICE are ripping away parents from their American children spouses and the like and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work. We must end those policies as well.",0.075,0.801,0.124,0.3612,6484,2426.018,6563,2447.428,"as my friend here said i agree with him on that issue but folks should understand that the separation of children from families doesn't just go on at our border it happens in our communities as ice are ripping away parents from their american children spouses and the like and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work we must end those policies as well","my friend here said i agree with him on that issue but folks would understand that the separation of children from families doesn't just go on at our border it happens in our community is his ice or ripping away parents from their american children spouses in the life and are creating fear and cities all across this country where parents are afraid to even drop their kids off to school go to work we must send those policies as",0.9632183908045977
"DE BLASIO","We have to change the discussion about in this country",0.0,1.0,0.0,0.0,6574,2450.463,6574,2450.563,"we have to change the discussion about in this country","the",0.10526315789473684
"DIAZ-BALART","Mayor?",0.0,1.0,0.0,0.0,"","","","","mayor","",0.0
"DE BLASIO"," because look at the bottom line here. Those tragic  that tragic photo of those  that parent that child  and I'm saying this as a father. Every American should feel that in their heart every American should say that is not America those are not our values.",0.164,0.836,0.0,-0.8052,6575,2450.563,6615,2463.873,"because look at the bottom line here those tragic that tragic photo of those that parent that child and i'm saying this as a father every american should feel that in their heart every american should say that is not america those are not our values","bottom line here those tragic that tragic photo of those parent that child and i'm saying this as a father every american should feel that in their heart every american should say that is not america those are not our values",0.9471458773784355
"DE BLASIO","But we have to get under the skin of why we have this crisis in our system because we're not being honest about the division that's been fomented in this country. The way that American citizens have been told that immigrants somehow created their misery and their pain and their challenges for all the American citizens out there who feel you're falling behind or feel the American dream is not working for you the immigrants didn't do that to you.",0.173,0.77,0.057,-0.9166,6616,2463.873,6696,2486.633,"but we have to get under the skin of why we have this crisis in our system because we're not being honest about the division that's been fomented in this country the way that american citizens have been told that immigrants somehow created their misery and their pain and their challenges for all the american citizens out there who feel you're falling behind or feel the american dream is not working for you the immigrants didn't do that to you","but we have to get under the skin of why we have this crisis in our system because we're not being honest about the division that's been fomented in this country the way that american citizens have been told that immigrants somehow created their misery and their pain and their challenges for all the americans is is out there who feel you're falling behind to feel the american dream is not working for you the immigrants didn't do that to you",0.9887640449438202
"DE BLASIO","The big corporations did that to you. The 1 percent did that to you. We need to be the party of working people and that includes a party of immigrants. But first we have to tell working people in America who are hurting that we're going to be on their side every single time against those big corporations who created this mess to begin with. And remind people we're all in this together.",0.071,0.836,0.094,0.2083,6697,2487.363,6775,2513.943,"the big corporations did that to you the 1 percent did that to you we need to be the party of working people and that includes a party of immigrants but first we have to tell working people in america who are hurting that we're going to be on their side every single time against those big corporations who created this mess to begin with and remind people we're all in this together","big corporations theo 1% did that to you way already working people and that includes a party of immigrants but first we have to tell working people in america are hurting that we're gonna be on their side every single time against those big corporations who created this mess to begin with and remind people we're all in this together if we don't change that debate that politics that's holding us back we won't get all these reforms people",0.7888349514563107
"DE BLASIO","If we don't change that debate that politics that's holding us back we won't get all these reforms people are talking about. That's what we need to do as Democrats.",0.0,1.0,0.0,0.0,6780,2514.753,6785,2515.893,"if we don't change that debate that politics that's holding us back we won't get all these reforms people are talking about that's what we need to do as democrats","we need to do is democrats",0.26595744680851063
"DIAZ-BALART","If I could I'm sorry. (SPEAKING IN SPANISH)",0.178,0.822,0.0,-0.0772,"","","","","if i could i'm sorry (speaking in spanish)","",0.0
"DIAZ-BALART","What would you do Congressman day one at the White House??",0.0,1.0,0.0,0.0,6802,2524.903,6812,2528.583,"what would you do congressman day one at the white house","what would you do congressman day one at the white house",1.0
"O'ROURKE","We would not turn back Valeria and her father Oscar. We would accept them into this country and follow our own asylum laws. We would not build walls. We would not put kids in cages. In fact we would spare no expense to reunite the families that have been separated already",0.041,0.911,0.048,0.1027,6813,2529.193,6874,2552.483,"we would not turn back valeria and her father oscar we would accept them into this country and follow our own asylum laws we would not build walls we would not put kids in cages in fact we would spare no expense to reunite the families that have been separated already","oh my god persona con respecto de medicine cuomo romanos we would not turn back lydia and her father oscar we would accept them into this country and follow our own asylum laws we would not build walls we would not put kids in cages in fact we would spare no expense to reunite a lot of it have been separated already",0.8615384615384616
"O'ROURKE"," and we would not criminally prosecute any family who is fleeing violence and persecution",0.223,0.654,0.123,-0.4295,6876,2552.923,6889,2556.843,"and we would not criminally prosecute any family who is fleeing violence and persecution","we would not let anyone in the family because he was fleeing the violence",0.5962732919254659
"CASTRO"," repeal of Section 1325.",0.0,1.0,0.0,0.0,6892,2557.003,6893,2557.483,"repeal of section 1325","repeal of",0.5806451612903226
"O'ROURKE","We would make sure",0.0,0.566,0.434,0.3182,6898,2558.803,6900,2559.563,"we would make sure","would make sure",0.9090909090909091
"DIAZ-BALART","Secretary let him finish. And I will give you",0.0,1.0,0.0,0.0,6901,2559.573,6909,2561.193,"secretary let him finish and i will give you","secretary let him finish and i will give you",1.0
"DIAZ-BALART","But let him finish. Let him finish.",0.0,1.0,0.0,0.0,6910,2561.193,"","","but let him finish let him finish","",0.0
"O'ROURKE","We would not detain any family fleeing violence in fact fleeing the deadliest countries on the face of the planet today. We would implement a family case management program so they could be cared for in the community at a fraction of the cost. And then we would rewrite our immigration laws in our own image free Dreamers forever from any fear of deportation by making them U.S. citizens here in this country invest in solutions in Central America work with regional stakeholders so there's no reason to make that 2000 mile journey to this country.",0.091,0.814,0.095,-0.1646,6913,2564.823,7006,2594.136,"we would not detain any family fleeing violence in fact fleeing the deadliest countries on the face of the planet today we would implement a family case management program so they could be cared for in the community at a fraction of the cost and then we would rewrite our immigration laws in our own image free dreamers forever from any fear of deportation by making them u s citizens here in this country invest in solutions in central america work with regional stakeholders so there's no reason to make that 2000 mile journey to this country","we would not detain any family fleeing violence in fact fleeing the deadliest countries on the face of the planet today we would implement a family case management program so they could be cared for in the community at a fraction of the cost and then we would rewrite our immigration laws in our own image free dreamers forever from any fear of deportation by making them u s citizens here in this country invest in solutions in central america work with regional stakeholders so there's no reason to make that 2000 mile journey",0.9850746268656716
"DIAZ-BALART","Thank you.",0.0,0.286,0.714,0.3612,"","","","","thank you","",0.0
"DIAZ-BALART","Secretary I'll give you 30 seconds.",0.0,1.0,0.0,0.0,7008,2594.906,7009,2596.166,"secretary i'll give you 30 seconds","30 seconds",0.45454545454545453
"CASTRO","Let's be very clear. The reason that they're separating these little children from their families is that they're using Section 1325 of that act which criminalizes coming across the border to incarcerate the parents and then separate them.",0.0,0.927,0.073,0.4391,7010,2596.166,7048,2610.446,"let's be very clear the reason that they're separating these little children from their families is that they're using section 1325 of that act which criminalizes coming across the border to incarcerate the parents and then separate them","let's be very clear the reason that they're separating these little children from their families is that they're using section 13 25 of that act which criminalizes coming across the border to incarcerate the parents and then separate them",0.9978947368421053
"CASTRO","Some of us on this stage have called to end that section to terminate it. Some like Congressman O'Rourke have not. And I want to challenge all of the candidate to do that.",0.036,0.852,0.112,0.3773,7049,2610.726,7080,2620.156,"some of us on this stage have called to end that section to terminate it some like congressman o'rourke have not and i want to challenge all of the candidate to do that","some of us on this stage have called toe end that section two terminated some like congressman o'rourke have not and i want to challenge all of the candidates to do that",0.9792284866468842
"CASTRO","I just think it's a mistake Beto. I think it's a mistake. And I think that  that if you truly want to change the system that we've got to repeal that section. If not",0.141,0.735,0.124,-0.1531,7081,2620.386,7111,2628.956,"i just think it's a mistake beto i think it's a mistake and i think that that if you truly want to change the system that we've got to repeal that section if not","i just think it's a mistake i think it's a mistake and i think that if you truly want to change the system then we gotta repeal that section if not",0.935064935064935
"DIAZ-BALART","Thank you.",0.0,0.286,0.714,0.3612,7112,2628.966,7113,2629.286,"thank you","thank you",1.0
"CASTRO"," then it might as well be the same policy.",0.0,0.792,0.208,0.2732,7114,2629.286,7119,2630.336,"then it might as well be the same policy","then it might be the same",0.7692307692307693
"O'ROURKE","Let me respond to this very briefly. As a member of a Congress I helped to introduce legislation that would ensure that we don't criminalize those who are seeking asylum and refuge in this country.",0.0,0.923,0.077,0.3818,7133,2634.506,7151,2640.846,"let me respond to this very briefly as a member of a congress i helped to introduce legislation that would ensure that we don't criminalize those who are seeking asylum and refuge in this country","to introduce legislation that would ensure that we don't criminalize those were seeking asylum and refuge in this country",0.759493670886076
"CASTRO","I'm not talking about  I'm not talking about the ones that are seeking asylum.",0.0,1.0,0.0,0.0,7157,2642.096,7159,2643.656,"i'm not talking about i'm not talking about the ones that are seeking asylum","the best that",0.24719101123595505
"O'ROURKE","If you're fleeing  if you're fleeing desperation then I want to make sure",0.192,0.577,0.231,-0.1027,7160,2643.656,7164,2644.726,"if you're fleeing if you're fleeing desperation then i want to make sure","i want to make sure",0.4175824175824176
"CASTRO","I'm talking about  I'm talking about everybody else.",0.0,1.0,0.0,0.0,7171,2646.676,7175,2647.996,"i'm talking about i'm talking about everybody else","i'm still talking about everybody",0.7228915662650602
"O'ROURKE"," I want to make sure you are treated with respect.",0.0,0.472,0.528,0.6908,"","","","","i want to make sure you are treated with respect","",0.0
"CASTRO","I'm still talking about everybody else.",0.0,1.0,0.0,0.0,7186,2650.156,7188,2650.776,"i'm still talking about everybody else","i'm talking about",0.6181818181818182
"O'ROURKE","But you're looking at just one small part of this. I'm talking about a comprehensive rewrite of our immigration laws.",0.0,0.9,0.1,0.25,7192,2652.426,7211,2660.966,"but you're looking at just one small part of this i'm talking about a comprehensive rewrite of our immigration laws","of our integration way past that's actually not true i'm talking about laws about millions of folks a lot of",0.5022421524663677
"CASTRO","That's not true.",0.538,0.462,0.0,-0.3252,7217,2661.896,7217,2662.296,"that's not true","not",0.3333333333333333
